"env_step","pqn_Breakout-MinAtar - _step","pqn_Breakout-MinAtar - _step__MIN","pqn_Breakout-MinAtar - _step__MAX","pqn_Breakout-MinAtar - test_returned_episode_returns","pqn_Breakout-MinAtar - test_returned_episode_returns__MIN","pqn_Breakout-MinAtar - test_returned_episode_returns__MAX"
"1429504","349","349","349","8.454179763793945","8.454179763793945","8.454179763793945"
"1433600","350","350","350","8.454179763793945","8.454179763793945","8.454179763793945"
"1437696","351","351","351","8.454179763793945","8.454179763793945","8.454179763793945"
"1441792","352","352","352","8.454179763793945","8.454179763793945","8.454179763793945"
"1445888","353","353","353","8.454179763793945","8.454179763793945","8.454179763793945"
"1449984","354","354","354","8.454179763793945","8.454179763793945","8.454179763793945"
"1454080","355","355","355","8.454179763793945","8.454179763793945","8.454179763793945"
"1458176","356","356","356","8.454179763793945","8.454179763793945","8.454179763793945"
"1462272","357","357","357","8.454179763793945","8.454179763793945","8.454179763793945"
"1466368","358","358","358","8.454179763793945","8.454179763793945","8.454179763793945"
"1470464","359","359","359","8.454179763793945","8.454179763793945","8.454179763793945"
"1474560","360","360","360","8.454179763793945","8.454179763793945","8.454179763793945"
"1478656","361","361","361","8.454179763793945","8.454179763793945","8.454179763793945"
"1482752","362","362","362","8.454179763793945","8.454179763793945","8.454179763793945"
"1486848","363","363","363","8.454179763793945","8.454179763793945","8.454179763793945"
"1490944","364","364","364","8.454179763793945","8.454179763793945","8.454179763793945"
"1495040","365","365","365","8.454179763793945","8.454179763793945","8.454179763793945"
"1499136","366","366","366","8.454179763793945","8.454179763793945","8.454179763793945"
"1503232","367","367","367","8.454179763793945","8.454179763793945","8.454179763793945"
"1507328","368","368","368","8.454179763793945","8.454179763793945","8.454179763793945"
"1511424","369","369","369","8.454179763793945","8.454179763793945","8.454179763793945"
"1515520","370","370","370","8.454179763793945","8.454179763793945","8.454179763793945"
"1519616","371","371","371","8.454179763793945","8.454179763793945","8.454179763793945"
"1523712","372","372","372","8.454179763793945","8.454179763793945","8.454179763793945"
"1527808","373","373","373","8.454179763793945","8.454179763793945","8.454179763793945"
"1531904","374","374","374","8.454179763793945","8.454179763793945","8.454179763793945"
"1536000","375","375","375","8.454179763793945","8.454179763793945","8.454179763793945"
"1540096","376","376","376","8.454179763793945","8.454179763793945","8.454179763793945"
"1544192","377","377","377","8.454179763793945","8.454179763793945","8.454179763793945"
"1548288","378","378","378","8.454179763793945","8.454179763793945","8.454179763793945"
"1552384","379","379","379","8.454179763793945","8.454179763793945","8.454179763793945"
"1556480","380","380","380","8.454179763793945","8.454179763793945","8.454179763793945"
"1560576","381","381","381","8.454179763793945","8.454179763793945","8.454179763793945"
"1564672","382","382","382","8.454179763793945","8.454179763793945","8.454179763793945"
"1568768","383","383","383","8.454179763793945","8.454179763793945","8.454179763793945"
"1572864","384","384","384","8.454179763793945","8.454179763793945","8.454179763793945"
"1576960","385","385","385","8.454179763793945","8.454179763793945","8.454179763793945"
"1581056","386","386","386","8.454179763793945","8.454179763793945","8.454179763793945"
"1585152","387","387","387","8.454179763793945","8.454179763793945","8.454179763793945"
"1589248","388","388","388","8.454179763793945","8.454179763793945","8.454179763793945"
"1593344","389","389","389","8.454179763793945","8.454179763793945","8.454179763793945"
"1597440","390","390","390","8.454179763793945","8.454179763793945","8.454179763793945"
"1601536","391","391","391","8.454179763793945","8.454179763793945","8.454179763793945"
"1605632","392","392","392","8.454179763793945","8.454179763793945","8.454179763793945"
"1609728","393","393","393","8.454179763793945","8.454179763793945","8.454179763793945"
"1613824","394","394","394","8.454179763793945","8.454179763793945","8.454179763793945"
"1617920","395","395","395","8.454179763793945","8.454179763793945","8.454179763793945"
"1622016","396","396","396","8.454179763793945","8.454179763793945","8.454179763793945"
"1626112","397","397","397","8.454179763793945","8.454179763793945","8.454179763793945"
"1630208","398","398","398","8.454179763793945","8.454179763793945","8.454179763793945"
"1634304","399","399","399","8.454179763793945","8.454179763793945","8.454179763793945"
"1638400","400","400","400","8.454179763793945","8.454179763793945","8.454179763793945"
"1642496","401","401","401","8.454179763793945","8.454179763793945","8.454179763793945"
"1646592","402","402","402","8.454179763793945","8.454179763793945","8.454179763793945"
"1650688","403","403","403","8.454179763793945","8.454179763793945","8.454179763793945"
"1654784","404","404","404","8.454179763793945","8.454179763793945","8.454179763793945"
"1658880","405","405","405","8.454179763793945","8.454179763793945","8.454179763793945"
"1662976","406","406","406","8.454179763793945","8.454179763793945","8.454179763793945"
"1667072","407","407","407","8.454179763793945","8.454179763793945","8.454179763793945"
"1671168","408","408","408","8.454179763793945","8.454179763793945","8.454179763793945"
"1675264","409","409","409","8.454179763793945","8.454179763793945","8.454179763793945"
"1679360","410","410","410","8.454179763793945","8.454179763793945","8.454179763793945"
"1683456","411","411","411","8.454179763793945","8.454179763793945","8.454179763793945"
"1687552","412","412","412","8.454179763793945","8.454179763793945","8.454179763793945"
"1691648","413","413","413","8.454179763793945","8.454179763793945","8.454179763793945"
"1695744","414","414","414","8.454179763793945","8.454179763793945","8.454179763793945"
"1699840","415","415","415","8.454179763793945","8.454179763793945","8.454179763793945"
"1703936","416","416","416","8.454179763793945","8.454179763793945","8.454179763793945"
"1708032","417","417","417","8.454179763793945","8.454179763793945","8.454179763793945"
"1712128","418","418","418","8.454179763793945","8.454179763793945","8.454179763793945"
"1716224","419","419","419","8.454179763793945","8.454179763793945","8.454179763793945"
"1720320","420","420","420","8.454179763793945","8.454179763793945","8.454179763793945"
"1724416","421","421","421","8.454179763793945","8.454179763793945","8.454179763793945"
"1728512","422","422","422","8.454179763793945","8.454179763793945","8.454179763793945"
"1732608","423","423","423","8.454179763793945","8.454179763793945","8.454179763793945"
"1736704","424","424","424","8.454179763793945","8.454179763793945","8.454179763793945"
"1740800","425","425","425","8.454179763793945","8.454179763793945","8.454179763793945"
"1744896","426","426","426","8.454179763793945","8.454179763793945","8.454179763793945"
"1748992","427","427","427","8.454179763793945","8.454179763793945","8.454179763793945"
"1753088","428","428","428","8.454179763793945","8.454179763793945","8.454179763793945"
"1757184","429","429","429","8.454179763793945","8.454179763793945","8.454179763793945"
"1761280","430","430","430","8.454179763793945","8.454179763793945","8.454179763793945"
"1765376","431","431","431","8.454179763793945","8.454179763793945","8.454179763793945"
"1769472","432","432","432","8.454179763793945","8.454179763793945","8.454179763793945"
"1773568","433","433","433","8.454179763793945","8.454179763793945","8.454179763793945"
"1777664","434","434","434","8.454179763793945","8.454179763793945","8.454179763793945"
"1781760","435","435","435","8.454179763793945","8.454179763793945","8.454179763793945"
