"env_step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MAX"
"823296","201","201","201","0.550000011920929","0.550000011920929","0.550000011920929"
"827392","202","202","202","0.550000011920929","0.550000011920929","0.550000011920929"
"831488","203","203","203","0.550000011920929","0.550000011920929","0.550000011920929"
"835584","204","204","204","0.550000011920929","0.550000011920929","0.550000011920929"
"839680","205","205","205","0.550000011920929","0.550000011920929","0.550000011920929"
"843776","206","206","206","0.550000011920929","0.550000011920929","0.550000011920929"
"847872","207","207","207","0.550000011920929","0.550000011920929","0.550000011920929"
"851968","208","208","208","0.550000011920929","0.550000011920929","0.550000011920929"
"856064","209","209","209","0.550000011920929","0.550000011920929","0.550000011920929"
"860160","210","210","210","0.550000011920929","0.550000011920929","0.550000011920929"
"864256","211","211","211","0.550000011920929","0.550000011920929","0.550000011920929"
"868352","212","212","212","0.550000011920929","0.550000011920929","0.550000011920929"
"872448","213","213","213","0.550000011920929","0.550000011920929","0.550000011920929"
"876544","214","214","214","0.550000011920929","0.550000011920929","0.550000011920929"
"880640","215","215","215","0.550000011920929","0.550000011920929","0.550000011920929"
"884736","216","216","216","0.550000011920929","0.550000011920929","0.550000011920929"
"888832","217","217","217","0.550000011920929","0.550000011920929","0.550000011920929"
"892928","218","218","218","0.550000011920929","0.550000011920929","0.550000011920929"
"897024","219","219","219","0.550000011920929","0.550000011920929","0.550000011920929"
"901120","220","220","220","0.550000011920929","0.550000011920929","0.550000011920929"
"905216","221","221","221","0.550000011920929","0.550000011920929","0.550000011920929"
"909312","222","222","222","0.550000011920929","0.550000011920929","0.550000011920929"
"913408","223","223","223","0.550000011920929","0.550000011920929","0.550000011920929"
"917504","224","224","224","0.550000011920929","0.550000011920929","0.550000011920929"
"921600","225","225","225","0.550000011920929","0.550000011920929","0.550000011920929"
"925696","226","226","226","0.550000011920929","0.550000011920929","0.550000011920929"
"929792","227","227","227","0.550000011920929","0.550000011920929","0.550000011920929"
