"env_step","pqn_SpaceInvaders-MinAtar - _step","pqn_SpaceInvaders-MinAtar - _step__MIN","pqn_SpaceInvaders-MinAtar - _step__MAX","pqn_SpaceInvaders-MinAtar - returned_episode_returns","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MIN","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"1654784","404","404","404","27.175537109375","27.175537109375","27.175537109375"
"1658880","405","405","405","26.9248046875","26.9248046875","26.9248046875"
"1662976","406","406","406","27.2705078125","27.2705078125","27.2705078125"
"1667072","407","407","407","26.030029296875","26.030029296875","26.030029296875"
"1671168","408","408","408","25.8525390625","25.8525390625","25.8525390625"
"1675264","409","409","409","26.220458984375","26.220458984375","26.220458984375"
"1679360","410","410","410","25.552490234375","25.552490234375","25.552490234375"
"1683456","411","411","411","25.888916015625","25.888916015625","25.888916015625"
"1687552","412","412","412","26.046630859375","26.046630859375","26.046630859375"
"1691648","413","413","413","25.474365234375","25.474365234375","25.474365234375"
"1695744","414","414","414","25.18798828125","25.18798828125","25.18798828125"
"1699840","415","415","415","25.26318359375","25.26318359375","25.26318359375"
